"Formula ID","Block","Name","Formula","Description","Level / Stage","Input / Source","Variable IDs","Reference IDs","Output / Next","Used In","Source Scope","Implementation Status","Data Readiness","Related Formula IDs","Test Assumption","Normalization Notes"
"TBE-DSP-002","Dispatcher Payout","Dispatcher Payout","dispatcherPayout = dispatcherPayoutBase + bonus - penalty","Считает итоговую выплату dispatcher с бонусами/штрафами, если они применяются.","","Dispatcher base, bonus rules, penalty rules.","","","Payroll/admin payout, profitability.","Нужны ли bonus/penalty в MVP?","TO-BE","Approved for Formula Sprint","Ready","TBE-MRG-014","",""
"TBE-DSP-003","Dispatcher Payout","Dispatcher Stage Allocation","dispatcherStageCost = dispatcherPayout x stageShare","Распределяет dispatcher payout по pickup/interstate/delivery, чтобы stage margin был честным.","","Dispatcher payout, stage share rule.","","REF-TBE-005","Stage cost and margin.","Allocation по revenue, labor hours или equal split?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-COST-001","Cost Base","Direct Operational Cost","directCost = pickupCost + interstateCost + deliveryCost + serviceFees","Собирает прямую себестоимость заказа до overhead, payouts, margin и discounts.","","Stage subtotals, service fees.","","","Fully loaded cost, margin calculation.","Какие fees являются direct cost, а какие pass-through?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-COST-002","Cost Base","Fully Loaded Cost","fullyLoadedCost = directCost + payrollBurden + brokerPayout + dispatcherPayout + overheadAllocation","Считает полную себестоимость заказа для правильной маржинальности.","","Direct cost, payroll, payouts, overhead.","","","Gross/contribution margin, price floor.","Включать overhead в quote price или только в profitability audit?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-COST-003","Cost Allocation","Item Cost Allocation","itemCostShare = itemEffectiveVolume / totalEffectiveVolume x allocatableCost","Распределяет cost по item для audit/ref price, не как declared value.","","Item effective volume, total effective volume, allocatable cost.","","","Item-level audit, internal allocation.","Allocation делать по volume, weight или hybrid?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-COST-004","Cost Allocation","Stage Cost Allocation","stageCostShare = stageCost / totalCost","Показывает, какая доля себестоимости пришлась на pickup/interstate/delivery.","","Stage costs, total cost.","","","Stage margin dashboard, CEO audit.","Нужны ли stage margin targets?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-MGN-003","Margin","Gross Margin Dollars","grossMargin = customerRevenue - directOperationalCost","Считает gross margin в долларах до fully loaded payouts/overhead.","","Customer revenue, direct cost.","","","CEO profitability view.","Gross margin считать до или после broker/dispatcher payouts?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-MGN-004","Margin","Gross Margin Percent","grossMarginPct = grossMargin / customerRevenue","Показывает gross margin в процентах от customer revenue.","","Gross margin, customer revenue.","","","Margin guardrails, reporting.","Какой minimum gross margin допустим?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-MGN-005","Margin","Contribution Margin Dollars","contributionMargin = customerRevenue - fullyLoadedCost","Считает contribution margin после payroll burden, broker/dispatcher payouts и approved overhead.","","Customer revenue, fully loaded cost.","","","Profitability guardrail.","Используем contribution margin как главный контроль?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-MGN-006","Margin","Contribution Margin Percent","contributionMarginPct = contributionMargin / customerRevenue","Показывает реальную маржинальность заказа после всех ключевых выплат и cost components.","","Contribution margin, customer revenue.","","","CEO/CFO margin dashboard.","Какой target contribution margin?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-MGN-007","Margin","Minimum Margin Guardrail","isMarginOk = contributionMarginPct >= minContributionMarginPct","Блокирует или помечает quote, если цена ниже минимальной маржинальности.","","Contribution margin pct, minimum margin pct.","VAR-TBE-020","","Warning/blocker, discount approval.","Это warning или blocker для estimate generation?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-MGN-008","Margin","Price Floor","priceFloor = fullyLoadedCost / (1 - minContributionMarginPct)","Считает минимальную customer price, ниже которой заказ не должен продаваться.","","Fully loaded cost, minimum margin pct.","VAR-TBE-020","","Discount guardrail, final quote check.","Показывать price floor broker/admin?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-MGN-009","Discount","Maximum Allowed Discount","maxDiscount = rawCustomerPrice - priceFloor","Считает максимальную скидку, которую можно дать без нарушения margin floor.","","Raw customer price, price floor.","","","Discount approval, warning/blocker.","Кто может override max discount?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-MGN-010","Discount","Post-Discount Margin Check","postDiscountMarginPct = (discountedPrice - fullyLoadedCost) / discountedPrice","Пересчитывает margin после скидки, чтобы discount не разрушал прибыльность.","","Discounted price, fully loaded cost.","","","Final approval, audit.","Какая минимальная post-discount margin?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-CAP-001","Capacity","Vehicle Space Utilization","vehicleUtilization = totalEffectiveVolume / selectedVehicleCapacity","Показывает, насколько выбранная машина заполнена по operational volume.","","Effective volume, selected vehicle capacity.","","","Vehicle fit, capacity warning, pricing premium.","Какой utilization считается нормальным/опасным?","TO-BE","Approved for Formula Sprint","Test Assumption","INT-CAP-002-VOLUME-UTILIZATION; FIT-002-CAPACITY-FIT-BY-VOLUME","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-CAP-002","Capacity","Payload Utilization","payloadUtilization = totalWeight / selectedVehiclePayload","Показывает загрузку vehicle по весу, отдельно от объема.","","Total weight, selected vehicle payload.","","","Vehicle fit, safety/ops warning.","Какие payload thresholds trigger review?","TO-BE","Approved for Formula Sprint","Test Assumption","INT-CAP-003-PAYLOAD-UTILIZATION; FIT-003-CAPACITY-FIT-BY-WEIGHT","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping, Reference mapping"
"TBE-CAP-003","Capacity","Route Capacity Opportunity Cost","capacityOpportunityCost = reservedCapacity x routeCapacityRate","Оценивает стоимость занятой capacity на route, особенно для bulky/moving orders.","","Reserved capacity, route capacity rate.","VAR-TBE-022","","Bulky premium, margin guardrail.","Нужно ли учитывать opportunity cost в customer price?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-CAP-004","Capacity","Bulky Capacity Premium","bulkyCapacityPremium = capacityOpportunityCost x bulkyPremiumMultiplier","Добавляет premium, когда заказ занимает слишком много capacity и мешает consolidated economics.","","Capacity opportunity cost, bulky multiplier.","VAR-TBE-023","","Service fee or route premium.","Premium фиксированный, процентный или manual?","TO-BE","Approved for Formula Sprint","Test Assumption","WARN-002-BULKY-ORDER","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-REV-001","Revenue","Customer Revenue","customerRevenue = finalCustomerPrice - passThroughExcludedAmounts","Определяет revenue base для margin, commissions and reporting.","","Final price, pass-through fees.","","","Margin, broker payout, reporting.","Какие amounts исключать из revenue base?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"TBE-REV-002","Revenue","Stage Revenue Allocation","stageRevenue = customerRevenue x stageCost / totalCost","Распределяет revenue по pickup/interstate/delivery пропорционально cost, чтобы видеть stage margin.","","Customer revenue, stage cost shares.","","","Stage margin dashboard.","Revenue allocation по cost, price components или manual split?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-ADJ-001","Adjustments","Approved Manual Override Impact","overrideImpact = approvedOverrideAmount; finalImpact stored with reason and owner","Любой manual override должен иметь reason, owner и audit trail, чтобы не скрывать margin leakage.","","Approved override, reason, owner.","","","Final price, margin audit, change log.","Какие роли могут делать override?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-LOC-001","Location / Address Type","Address Type Normalization","normalizedAddressType = MAP(rawAddressType, LocationTypeReference)","Тип точки из UI должен нормализоваться в единый справочник. Это нужно, чтобы House, Apartments, Business, Warehouse и Auction одинаково использовались в pickup и delivery расчетах.","","Pickup/delivery addressType from Quote Draft access section; Location / Address Types reference.","","REF-TBE-016","Pickup/delivery time model, access effort, crew planning.","Утверждаем ли этот location type фактор для Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LOC-002","Location / Address Type","Location Type Time Impact","locationTimeMinutes = baseStageMinutes x locationTypeTimeMultiplier + locationTypeFixedMinutes","Тип точки должен увеличивать или уменьшать расчетное время stage. Например, apartment может добавить время доступа, warehouse может снизить handling time, auction может добавить waiting/release time.","","Normalized address type; Location / Address Types reference; historical time metrics.","VAR-TBE-024; VAR-TBE-025","REF-TBE-005; REF-TBE-016; REF-TIME-001","Pickup minutes, delivery minutes, labor hours, fully loaded labor cost.","Какие multipliers и fixed minutes утверждаем для House/Apartments/Business/Warehouse/Auction?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LOC-003","Location / Address Type","Location Type Crew Impact","recommendedCrew = baseCrew + locationTypeCrewImpact + accessCrewImpact","Тип точки должен влиять на рекомендуемый crew, если локация требует больше людей или создает ограничения доступа. Это planning input, не скрытая ручная наценка.","","Location / Address Types reference; Access Conditions; crew rules.","VAR-TBE-026","REF-011; REF-TBE-005; REF-TBE-016","Vehicle/crew split, labor cost, capacity planning.","Утверждаем ли этот location type фактор для Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LOC-004","Location / Address Type","Parking / Loading Complexity","accessEffortMinutes = parkingLoadingComplexityMinutes + loadingDockPenalty + waitTimeAllowance","Для точки нужно учитывать не только этаж/лифт, но и парковку, loading dock, building access и ожидание. Эти минуты идут в stage time и стоимость труда.","","Location / Address Types reference; Access Conditions; historical time metrics.","VAR-TBE-027","REF-011; REF-TBE-005; REF-TBE-016; REF-TIME-001","Pickup/delivery labor minutes and access risk.","Утверждаем ли этот location type фактор для Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LOC-005","Location / Address Type","Warehouse Efficiency Adjustment","adjustedHandlingMinutes = handlingMinutes x warehouseEfficiencyFactor","Warehouse/business точка может быть быстрее, если есть dock/loading process. Коэффициент должен быть в справочнике, чтобы не hardcode в формуле.","","Location / Address Types reference; loading dock/default access fields.","VAR-TBE-028","REF-TBE-005; REF-TBE-016","Pickup/delivery handling time, labor cost.","Утверждаем ли этот location type фактор для Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LOC-006","Location / Address Type","Auction Handling Adjustment","auctionHandlingCost = auctionHandlingMinutes / 60 x fullyLoadedHourlyRate x crewSize","Auction требует отдельного handling allowance: ожидание, release, документы, ограниченные окна. Без этого калькулятор может недооценивать labor cost.","","Location / Address Types reference; payroll/wage rates; historical time metrics.","VAR-TBE-029","REF-TBE-005; REF-TBE-016; REF-TIME-001","Pickup/delivery labor cost, margin guardrail.","Нужен ли отдельный auction fee или достаточно labor time adjustment?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LOC-007","Location / Address Type","Location Effort Score","locationEffortScore = accessComplexityMultiplier + parkingComplexityScore + waitRiskScore + locationTypeCrewImpact","Сводный effort score показывает операционную сложность точки. Он не заменяет деньги напрямую, а помогает объяснить, почему выросли time, crew или risk reserve.","","Location / Address Types reference; Access Conditions; historical time metrics.","VAR-TBE-026","REF-011; REF-TBE-016; REF-TIME-001","Time model, crew planning, margin guardrail, audit trace.","Утверждаем ли этот location type фактор для Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-LOC-008","Location / Address Type","Location Risk Reserve","locationRiskReserve = locationLaborCost x locationRiskReservePct when confidence is low or effortScore exceeds threshold","Если тип точки исторически дает высокий риск ожидания/переработки, модель должна показывать отдельный reserve, чтобы CEO видел источник защиты маржи.","","Location effort score; time confidence score; margin variables.","VAR-TBE-014","REF-TBE-005","Internal cost base or management fee decision, depending on approval.","Утверждаем ли этот location type фактор для Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-001","Item Handling / Crew Feasibility","Max Single Item Weight","maxSingleItemWeight = MAX(unitItemWeight)","Для решения one-person vs two-person смотрим вес самой тяжелой отдельной единицы, а не item weight x quantity. Quantity считается отдельно через totalPieces и totalWeight.","","Quote Draft item rows / Quick Quote catalog transfer; unit item weight per piece.","","REF-002; REF-TBE-005","One-person eligibility, min crew by item, pickup/delivery labor model.","Подтверждаем, что maxSingleItemWeight считается только по unit weight, без умножения на quantity?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-002","Item Handling / Crew Feasibility","Heaviest Item Weight Class","weightClass = LOOKUP(maxSingleItemWeight, Item Handling Rules weight bands)","Самый тяжелый предмет переводится в weight class: light, standard, heavy, two-person required. Это предотвращает underpricing маленьких по объему, но тяжелых предметов.","","Max single item weight; Item Handling / Crew Feasibility Rules reference.","","REF-TBE-017","Crew requirement, helper logic, handling score.","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-003","Item Handling / Crew Feasibility","One-Person Eligibility","onePersonEligible = maxSingleItemWeight <= onePersonMaxItemWeightLb AND noHardAccessConstraint AND noOversizedAwkwardItem","Заказ может быть кандидатом на delivery в одного человека, если самый тяжелый предмет не превышает approved threshold и нет ограничений access/oversized/awkward.","","Max item weight, access constraints, item flags, Location / Address Types reference.","VAR-HND-001","REF-TBE-005; REF-TBE-016","Delivery crew split, pickup crew split, labor cost.","Какой max single item weight утверждаем для one-person eligibility: 70 lb или другой threshold?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-004","Item Handling / Crew Feasibility","Minimum Crew By Item","minCrewByItem = MAX(ItemHandlingRules[item].minCrew)","Каждый item может требовать minimum crew. Итоговый crew не может быть ниже максимального требования по любому предмету в заказе.","","Item catalog, item handling rules, custom item overrides.","","REF-003; REF-TBE-005","Recommended crew, labor hours, payroll cost.","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-005","Item Handling / Crew Feasibility","Large Volume Light Item Exception","largeLightEligible = totalEffectiveVolume > largeLightItemVolumeThresholdCuFt AND maxSingleItemWeight <= onePersonMaxItemWeightLb AND itemHandlingScore < threshold","Большой общий объем сам по себе не должен автоматически означать 2+ crew, если заказ состоит из легких предметов вроде стульев/кресел и каждый предмет доступен для одного человека.","","Total effective volume, max single item weight, item handling score, item catalog.","VAR-HND-001; VAR-HND-005; VAR-HND-006","REF-003; REF-TBE-005","Crew split, labor time model, CEO approval trace.","Разрешаем ли large-volume/light-item exception для chairs/armchairs и похожих заказов?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-006","Item Handling / Crew Feasibility","Item Handling Score","itemHandlingScore = weightScore + sizeScore + awkwardnessScore + fragilityScore + packagingScore + accessInteractionScore","Score объясняет, почему предмет требует больше времени/людей: вес, габарит, неудобная форма, хрупкость, упаковка и взаимодействие с access условиями.","","Item rows, item catalog flags, packaging, protection, access/location references.","VAR-LAB-005","REF-003","Minimum handling minutes, crew requirement, risk reserve.","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-007","Item Handling / Crew Feasibility","Crew Requirement From Items","crewFromItems = IF(onePersonEligible, 1, MAX(minCrewByItem, crewByHandlingScore))","Crew от items считается отдельно от route/location/access. Это защищает от ситуации, когда volume маленький, но предмет требует 2 человек.","","One-person eligibility, item min crew, handling score.","","REF-TBE-005","Final pickup crew, final delivery crew, labor hours.","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-008","Item Handling / Crew Feasibility","Final Stage Crew Requirement","stageCrew = MAX(baseCrew, crewFromItems, crewFromAccess, crewFromLocation, manualCrewOverride)","Итоговый crew для pickup/delivery берется как максимум из item, access, location и manual override. Так ни один риск не затирается другим блоком.","","Item handling rules, access conditions, location type, broker/manual override.","","REF-011; REF-TBE-005","Pickup labor hours, delivery labor hours, payroll cost, final price.","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-009","Item Handling / Crew Feasibility","Item Minimum Handling Time Floor","stageItemTimeFloor = SUM(itemMinimumHandlingMinutes x quantity x handlingComplexityMultiplier)","Даже если volume небольшой, каждый предмет имеет minimum handling time. Это защищает расчет от занижения labor для тяжелых или неудобных единичных предметов.","","Item Handling Rules, item quantity, handling class.","VAR-HND-004; VAR-LAB-005","REF-TBE-005","Pickup/delivery time floor, labor cost.","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-010","Item Handling / Crew Feasibility","Stage Time Guardrail","stageMinutes = MAX(orderLevelTimeModelMinutes, stageItemTimeFloor)","Финальное время stage не может быть ниже суммы item-level minimum handling time. Order-level volume model и item-level floor работают вместе.","","Order time model, item minimum handling floor.","","REF-TBE-005","Pickup/delivery labor cost, margin guardrail.","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-011","Item Handling / Crew Feasibility","Unit Item Weight","unitItemWeight = item.weight","Фиксирует вес одной физической единицы. Это защищает от ошибки, когда 10 легких предметов по 20 lb превращаются в один фиктивный heavy item 200 lb.","","Quote Draft item row / catalog default / broker override.","","REF-001","Max single item weight, heavy piece count, one-person eligibility.","Утверждаем как обязательный item-handling guardrail?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-HND-012","Item Handling / Crew Feasibility","Total Pieces","totalPieces = SUM(item.quantity)","Считает количество мест/единиц в заказе. Piece count влияет на время обработки, но не должен сам создавать heavy item.","","Quote Draft item quantities / Quick Quote transfer.","","","Piece handling minutes, trip/load complexity, UAT trace.","Утверждаем как обязательный item-handling guardrail?","TO-BE","Approved for Formula Sprint","Ready","","",""
"TBE-HND-013","Item Handling / Crew Feasibility","Heavy Piece Count","heavyPieceCount = SUM(IF(unitItemWeight >= heavyPieceWeightThresholdLb, quantity, 0))","Считает, сколько физических единиц являются тяжелыми. Один тяжелый предмет задает crew floor, а несколько тяжелых предметов увеличивают helper active time.","","Unit item weight, quantity, Item Handling Rules.","VAR-HND-007","","Crew requirement, helper active minutes, stage time floor.","Утверждаем как обязательный item-handling guardrail?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-014","Item Handling / Crew Feasibility","Piece Handling Time","pieceHandlingMinutes = SUM(quantity x minutesPerPieceByHandlingClass)","Каждое место требует минимального времени обработки. Это закрывает кейс 35 легких мест, где общий вес небольшой, но физически много операций.","","Item Handling Rules, handling class, item quantity.","VAR-HND-009","REF-TBE-005","Stage item time floor, pickup/delivery labor minutes.","Утверждаем как обязательный item-handling guardrail?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-015","Item Handling / Crew Feasibility","Helper Active Minutes","helperActiveMinutes = SUM(heavyPieceHandlingMinutes + accessHeavyImpactMinutes)","Считает время, когда второй человек действительно нужен для тяжелых/сложных предметов. Это позволяет не умножать весь stage на 2, если helper нужен только на часть работ.","","Heavy piece count, item handling minutes, access constraints.","VAR-HND-013","REF-TBE-005","Partial helper labor, payroll cost, margin guardrail.","Считаем helper на весь stage или только active helper minutes?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-016","Item Handling / Crew Feasibility","Labor Hours With Partial Helper","laborHours = soloMinutes / 60 + helperActiveMinutes / 60","Разделяет базовое время одного исполнителя и активное время helper. Используется, если бизнес не хочет считать 2 человека на весь stage.","","Stage minutes, helper active minutes, helper billing policy.","","REF-TBE-005","Stage labor cost, fully loaded labor, price floor.","Считаем helper на весь stage или только active helper minutes?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-HND-017","Item Handling / Crew Feasibility","Hard Access Crew Rule","IF heavyItem AND hardAccessConstraint THEN minCrew = 2 OR manualReview = TRUE","Если тяжелый предмет сочетается со stairs/no elevator/long carry/narrow access, система должна поднимать min crew или отправлять заказ на manual review.","","Heavy item flags, Access Conditions, Location / Address Types, Physical Access Feasibility Rules.","","REF-011; REF-TBE-005; REF-TBE-016; REF-TBE-018","Final stage crew, access risk, labor cost, approval workflow.","Какие access constraints являются hard blockers для одного человека?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-VEH-002","Vehicle","Vehicle Dimensional Fit","vehicleDimensionalFit = itemLength <= cargoInteriorLengthIn AND itemWidth <= cargoInteriorWidthIn AND itemHeight <= cargoInteriorHeightIn","Проверяет, входит ли самый крупный item в реальные внутренние габариты кузова. Это отдельная проверка от общего volume/payload.","","Item dimensions; Vehicle Dimensions / Cargo Body Specs reference.","VAR-VEH-004; VAR-VEH-005; VAR-VEH-006","REF-TBE-019","Vehicle selection, manual review, box truck recommendation.","Утверждаем как обязательный vehicle fit guardrail?","TO-BE","Approved for Formula Sprint","Test Assumption","FIT-001-DIMENSIONAL-FIT","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-VEH-003","Vehicle","Door Opening Fit","doorOpeningFit = itemWidth <= doorOpeningWidthIn AND itemHeight <= doorOpeningHeightIn","Даже если item помещается внутри кузова, он может не пройти через задний/боковой проем. Это должно давать warning/manual review.","","Item dimensions; vehicle door opening dimensions.","VAR-VEH-007; VAR-VEH-008","","Physical feasibility, manual review, vehicle upgrade.","Утверждаем как обязательный vehicle fit guardrail?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-VEH-004","Vehicle","Selected Vehicle Height Check","selectedVehicleHeightExceeded = itemHeight > selectedVehicle.cargoInteriorHeightIn","Проверяет не абстрактный threshold, а фактическую высоту кузова выбранной в заявке машины. Если item выше кузова выбранной машины, нужен review и подбор vehicle с более высоким кузовом.","","Item height from Quote Draft item row / catalog; selected vehicle cargoInteriorHeightIn from Vehicle Dimensions / Cargo Body Specs.","VAR-VEH-006","REF-001; REF-TBE-019","Vehicle revision, side transport review, box truck recommendation, snapshot warning.","Подтверждаем, что height flag сравнивает itemHeight с высотой выбранной машины, а не с глобальным 72 in?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-VEH-005","Vehicle","Side Transport Review","sideTransportReview = selectedVehicleHeightExceeded AND sideTransportAllowed IS NOT TRUE","Если item не входит по высоте в выбранную машину, нельзя автоматически считать, что его повезут на боку. Если side transport не подтвержден, заказ требует review.","","Selected vehicle height check, item handling rules, packaging/protection, broker/ops approval.","VAR-VEH-002","","Manual review, protection/packaging risk, vehicle requirement.","Кто подтверждает перевозку на боку и где сохраняем approval?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-VEH-006","Vehicle","Higher Body Vehicle / Box Truck Recommended","higherBodyVehicleRecommended = selectedVehicleHeightExceeded AND sideTransportAllowed = FALSE","Если item выше кузова выбранной машины и перевозка на боку не подтверждена, система должна предложить пересмотреть выбранный truck на машину с более высоким кузовом, включая Box Truck если он подходит.","","Selected vehicle height check, side transport approval, Vehicle Dimensions reference.","VAR-VEH-002","","Vehicle selection, quote warning, route cost, final price.","Когда higher body vehicle обязателен, а когда достаточно warning/manual review?","TO-BE","Approved for Formula Sprint","Test Assumption","FIT-005-RECOMMENDED-VEHICLE-CHANGE","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-VEH-007","Vehicle","Vehicle Equipment Requirement","equipmentRequired = rampRequired OR liftGateRequired OR tieDownRequired; vehicleEligible = vehicle has required equipment","Для некоторых oversized/tall/heavy items нужен ramp, liftgate или tie-down. Vehicle fit должен проверять не только размеры, но и оборудование.","","Item handling rules; vehicle equipment fields.","","REF-TBE-005","Vehicle eligibility, labor time, manual review.","Утверждаем как обязательный vehicle fit guardrail?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"TBE-VEH-008","Vehicle","Final Vehicle Eligibility","vehicleEligible = volumeFit AND payloadFit AND vehicleDimensionalFit AND doorOpeningFit AND equipmentFit","Финальная пригодность машины должна учитывать volume, weight, реальные габариты кузова, дверной проем и оборудование.","","Vehicle fit formulas, item dimensions, vehicle dimensions/equipment reference.","","","Selected vehicle, manual review, cost base.","Утверждаем как обязательный vehicle fit guardrail?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-CAP-005","Capacity / Density","Shipment Density","shipmentDensityLbPerCuFt = totalWeightLb / MAX(totalEffectiveVolumeCuFt, 1)","Показывает, насколько заказ тяжелый относительно занимаемого объема. Нужен, чтобы отличать легкий объемный заказ от тяжелого компактного заказа.","","Total weight из item rows; total effective volume из item calculation.","","","Capacity constraint, vehicle fit, interstate pricing.","Подтверждаем density как обязательный расчет для interstate?","TO-BE","Approved for Formula Sprint","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"TBE-CAP-006","Capacity / Density","Vehicle Density Capacity","vehicleDensityCapacityLbPerCuFt = selectedVehiclePayloadLb / selectedVehicleCargoVolumeCuFt","Показывает среднюю плотность груза, которую выбранный транспорт может безопасно везти при полной загрузке по объему и весу.","","Vehicle body specs reference: payload, cargo volume.","VAR-CAP-001; VAR-CAP-002","","Density comparison, limiting factor selection.","Для каких типов транспорта density rule обязателен?","TO-BE","Approved for Formula Sprint","Test Assumption","INT-CAP-001-DENSITY-THRESHOLD","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
